House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Black Cape,Steven,Griffiths,17,Son,NA,Male,Student,None,NA
2,Black Cape,Scott,Jones,65,Head,Married,Male,Educational psychologist,None,None
2,Black Cape,Sandra,Jones,63,Wife,Married,Female,Haematologist,None,None
2,Black Cape,Stacey,Jones,15,Daughter,NA,Female,Student,None,NA
2,Black Cape,Phillip,Jones,14,Son,NA,Male,Student,None,NA
2,Black Cape,Gail,Jones,14,Daughter,NA,Female,Student,None,NA
3,Black Cape,Ellie,Bolton,88,Head,Married,Female,Retired Geographical information systems officer,None,Christian
3,Black Cape,Kieran,Bolton,93,Husband,Married,Male,Retired Interpreter,None,Christian
4,Black Cape,June,Smith,57,Head,Single,Female,Animal technologist,None,None
4,Black Cape,Wayne,Harrison,59,Partner,Single,Male,Advertising account planner,None,None
4,Black Cape,Christine,Smith,18,Daughter,Single,Female,Student,None,None
4,Black Cape,Kevin,Smith,16,Son,NA,Male,Student,None,NA
4,Black Cape,Jane,Smith,12,Daughter,NA,Female,Student,None,NA
5,Black Cape,Glenn,Berry,70,Head,Married,Male,Retired Maintenance engineer,None,None
5,Black Cape,Vanessa,Berry,67,Wife,Married,Female,Community education officer,None,None
6,Black Cape,Lucy,Joyce,57,Head,Married,Female,"Surveyor, insurance",None,Christian
6,Black Cape,Guy,Joyce,61,Husband,Married,Male,Conference centre manager,None,None
6,Black Cape,Lorraine,Joyce,25,Daughter,Single,Female,Personal assistant,None,Christian
7,Black Cape,Christopher,Bailey,62,Head,Single,Male,Product designer,None,None
8,Black Cape,Gerard,Holmes,21,Head,Single,Male,Unemployed,None,None
9,Black Cape,Paul,Marsh,84,Head,Married,Male,Retired Advertising copywriter,None,Catholic
9,Black Cape,Grace,Marsh,81,Wife,Married,Female,Retired Financial controller,None,None
10,Black Cape,Lucy,Brookes,77,Head,Widowed,Female,Retired Oceanographer,Mental Disability,Christian
11,Black Cape,Damian,Anderson,29,Head,Married,Male,Probation officer,None,None
11,Black Cape,Lydia,Anderson,23,Wife,Married,Female,Set designer,None,None
12,Black Cape,Georgia,Hanson,53,Head,Single,Female,Gaffer,None,Christian
12,Black Cape,Rita,Robinson,62,None,Single,Female,"Engineer, agricultural",None,Christian
12,Black Cape,Thomas,Lynch,50,None,Single,Male,Farm manager,None,Catholic
13,Black Cape,Nicola,Morrison,25,Head,Single,Female,"Research officer, government",None,Christian
13,Black Cape,Eric,Fox,37,None,Single,Male,Special effects artist,None,Christian
13,Black Cape,Judith,Moore,31,None,Single,Female,Estate agent,None,Catholic
14,Black Cape,Yvonne,Patel,57,Head,Divorced,Female,Cabin crew,None,None
14,Black Cape,Jacob,Patel,39,Son,Single,Male,Armed forces training and education officer,None,None
15,Black Cape,Tina,Flynn,21,Head,Married,Female,University Student,None,None
15,Black Cape,Daniel,Flynn,24,Husband,Married,Male,Actuary,None,None
16,Black Cape,Jade,Thorpe,37,Head,Married,Female,"Psychologist, occupational",None,None
16,Black Cape,Leslie,Thorpe,37,Husband,Married,Male,Unemployed,None,None
16,Black Cape,Toby,Lawrence,15,Son,NA,Male,Student,None,NA
16,Black Cape,Natalie,Lawrence,11,Daughter,NA,Female,Student,None,NA
16,Black Cape,Ashleigh,Lawrence,9,Daughter,NA,Female,Student,None,NA
16,Black Cape,Francis,Lawrence,5,Son,NA,Male,Student,None,NA
17,Black Cape,Jodie,Jackson,56,Head,Married,Female,"Therapist, sports",None,Christian
17,Black Cape,Antony,Jackson,58,Husband,Married,Male,Radio producer,None,Methodist
17,Black Cape,Jean,Jackson,23,Daughter,Divorced,Female,Theatre manager,None,None
17,Black Cape,Russell,Jackson,8,Son,NA,Male,Student,None,NA
18,Black Cape,Hilary,Knowles,70,Head,Married,Female,Retired Museum/gallery exhibitions officer,None,None
18,Black Cape,Michael,Knowles,72,Husband,Married,Male,Retired Exercise physiologist,None,None
19,Black Cape,Kirsty,Harvey,50,Head,Married,Female,Teaching laboratory technician,None,Methodist
19,Black Cape,Clive,Harvey,56,Husband,Married,Male,"Physicist, medical",None,None
19,Black Cape,Clive,Harvey,14,Son,NA,Male,Student,None,NA
19,Black Cape,Derek,Harvey,10,Son,NA,Male,Student,None,NA
20,Black Cape,Jamie,Thompson,66,Head,Divorced,Male,"Psychologist, occupational",None,Christian
21,Black Cape,Alexander,French,44,Head,Single,Male,"Designer, jewellery",None,None
21,Black Cape,Anthony,Phillips,45,None,Single,Male,Unemployed,None,Catholic
21,Black Cape,Christine,Lawrence,36,None,Single,Female,Technical sales engineer,None,Catholic
22,Black Cape,Amanda,Davies,28,Head,Single,Female,Banker,None,None
22,Black Cape,Carl,Davies,3,Son,NA,Male,Child,None,NA
23,Black Cape,Jason,Read,53,Head,Married,Male,Leisure centre manager,None,Christian
23,Black Cape,Sheila,Read,47,Wife,Married,Female,Aeronautical engineer,None,Christian
24,Black Cape,Sandra,Williams,77,Head,Married,Female,"Retired Pilot, airline",None,Christian
24,Black Cape,Sam,Williams,78,Husband,Married,Male,Retired Historic buildings inspector/conservation officer,None,Christian
25,Black Cape,Eric,Parkin,67,Head,Married,Male,"Editor, film/video",None,Methodist
25,Black Cape,Julia,Parkin,65,Wife,Married,Female,Unemployed,None,Methodist
26,Black Cape,Katherine,Simpson,34,Head,Divorced,Female,Unemployed,None,None
26,Black Cape,Leon,Simpson,14,Son,NA,Male,Student,None,NA
27,Black Cape,Samantha,Bray,54,Head,Single,Female,Chief Technology Officer,None,Catholic
27,Black Cape,Christian,Glover,32,None,Single,Male,Records manager,None,Catholic
27,Black Cape,Grace,Hughes,29,None,Single,Female,Unemployed,None,None
28,Black Cape,Samantha,Davis,45,Head,Single,Female,Unemployed,None,Christian
28,Black Cape,Harry,Davis,11,Son,NA,Male,Student,None,NA
28,Black Cape,Sandra,Jackson,10,Daughter,NA,Female,Student,None,NA
29,Black Cape,Gareth,Begum,40,Head,Single,Male,Mental health nurse,None,Christian
29,Black Cape,Georgina,Mills,35,Partner,Single,Female,Clinical cytogeneticist,None,Christian
30,Black Cape,Kevin,Marshall,59,Head,Divorced,Male,Television camera operator,None,Methodist
31,Black Cape,Mark,Bradley,51,Head,Married,Male,Public house manager,None,None
31,Black Cape,Kirsty,Bradley-Coleman,43,Wife,Married,Female,Petroleum engineer,None,None
31,Black Cape,Malcolm,Bradley-Coleman,6,Son,NA,Male,Student,None,NA
32,Black Cape,Kayleigh,Warner,42,Head,Single,Female,"Engineer, manufacturing systems",None,Christian
33,Black Cape,James,Newman,63,Head,Married,Male,Optometrist,None,Christian
33,Black Cape,Craig,Newman,60,Husband,Married,Male,"Development worker, community",None,Christian
34,Black Cape,Lucy,Harrison,35,Head,Single,Female,Unemployed,None,Catholic
34,Black Cape,Karen,Harrison,0,Daughter,NA,Female,Child,None,NA
35,Black Cape,Alan,Powell,38,Head,Married,Male,Dietitian,None,None
35,Black Cape,Maria,Powell,37,Wife,Married,Female,Probation officer,None,None
35,Black Cape,Gerald,Powell,9,Son,NA,Male,Student,None,NA
36,Black Cape,Lindsey,Fowler,61,Head,Single,Female,Corporate investment banker,None,Catholic
36,Black Cape,Hayley,Moss,48,None,Single,Female,Art gallery manager,None,Christian
36,Black Cape,Donna,Perry,24,None,Single,Female,"Surveyor, building control",None,Christian
37,Black Cape,Heather,Armstrong,24,Head,Married,Female,Plant breeder/geneticist,None,Methodist
37,Black Cape,Simon,Armstrong,25,Husband,Married,Male,Counsellor,None,None
38,Black Cape,Jodie,Duffy,62,Head,Single,Female,Unemployed,None,None
39,Black Cape,Marc,Reed,60,Head,Married,Male,Archivist,None,Christian
39,Black Cape,Katherine,Reed,56,Wife,Married,Female,Sports therapist,None,Christian
40,Black Cape,Kathleen,Lane,46,Head,Married,Female,Records manager,None,None
40,Black Cape,Joshua,Lane,49,Husband,Married,Male,Paediatric nurse,None,None
40,Black Cape,Catherine,Lane,10,Daughter,NA,Female,Student,None,NA
40,Black Cape,Arthur,Lane,9,Son,NA,Male,Student,None,NA
41,Black Cape,Kenneth,Fitzgerald,44,Head,Married,Male,Research scientist (physical sciences),None,None
41,Black Cape,Elaine,Fitzgerald,44,Wife,Married,Female,Glass blower/designer,None,None
41,Black Cape,Lauren,Fitzgerald,22,Daughter,Single,Female,University Student,None,None
41,Black Cape,Aimee,Fitzgerald,17,Daughter,NA,Female,Student,None,NA
42,Black Cape,Emma,Jones,46,Head,Married,Female,"Designer, interior/spatial",None,Catholic
42,Black Cape,Vincent,Jones,51,Husband,Married,Male,Commercial art gallery manager,None,None
42,Black Cape,Roy,Jones,11,Son,NA,Male,Student,None,NA
43,Black Cape,Hollie,Nicholls,52,Head,Married,Female,Armed forces operational officer,None,None
43,Black Cape,Mark,Nicholls,57,Husband,Married,Male,Horticultural therapist,None,None
43,Black Cape,Brenda,Nicholls,14,Daughter,NA,Female,Student,None,NA
43,Black Cape,Leanne,Nicholls,12,Daughter,NA,Female,Student,None,NA
44,Black Cape,Barbara,Cross,47,Head,Single,Female,Newspaper journalist,None,Christian
45,Black Cape,Mandy,Gibson,43,Head,Married,Female,Neurosurgeon,None,None
45,Black Cape,Justin,Gibson,45,Husband,Married,Male,Psychotherapist,None,None
45,Black Cape,Dominic,Gibson,9,Son,NA,Male,Student,None,NA
46,Black Cape,Catherine,Patel,32,Head,Single,Female,"Accountant, chartered public finance",None,Catholic
46,Black Cape,Leigh,Riley,23,Lodger,Single,Male,"Conservator, museum/gallery",None,Christian
46,Black Cape,Richard,Cook, ,Cousin,Single,Male,Architect,None,None
46,Black Cape,Cheryl,Wood,44,Lodger,Divorced,Female,"Librarian, public",None,Catholic
46,Black Cape,Gavin,Reynolds,22,Lodger,Single,Male,University Student,None,Catholic
47,Black Cape,Terry,Newton,66,Head,Married,Male,Building surveyor,None,None
47,Black Cape,Georgia,Newton,66,Wife,Married,Female,Multimedia programmer,None,None
48,Black Cape,Teresa,Mitchell,46,Head,Married,Female,Charity fundraiser,None,Christian
48,Black Cape,Nigel,Mitchell,51,Husband,Married,Male,Analytical chemist,None,Christian
48,Black Cape,Adrian,Mitchell,17,Son,NA,Male,Student,None,NA
48,Black Cape,Jessica,Mitchell,15,Daughter,NA,Female,Student,None,NA
48,Black Cape,Timothy,Mitchell,13,Son,NA,Male,Student,None,NA
49,Black Cape,Guy,Wood,18,Head,Married,Male,Student,None,NA
49,Black Cape,Amy,Wood,19,Wife,Married,Female,University Student,None,NA
50,Black Cape,Marion,Clarke,40,Head,Single,Female,Medical technical officer,None,Christian
51,Black Cape,Marc,Connolly,76,Head,Married,Male,Retired Office manager,None,Christian
51,Black Cape,Charlene,Connolly,72,Wife,Married,Female,"Retired Surveyor, hydrographic",None,Christian
52,Black Cape,Beth,Jones,30,Head,Single,Female,"Scientist, marine",None,None
52,Black Cape,Tina,Barnes,26,Lodger,Divorced,Female,"Copywriter, advertising",None,None
52,Black Cape,Hollie,Taylor,22,Cousin,Single,Female,University Student,None,None
52,Black Cape,Victoria,Reed,27,Lodger,Divorced,Female,Farm manager,None,None
53,Black Cape,Judith,Briggs,30,Head,Married,Female,Pensions consultant,None,Christian
53,Black Cape,Scott,Briggs,33,Husband,Married,Male,"Engineer, communications",None,Christian
53,Black Cape,Gerald,Briggs,7,Son,NA,Male,Student,None,NA
53,Black Cape,Natalie,Briggs,4,Daughter,NA,Female,Child,None,NA
54,Black Cape,Anne,Miller,29,Head,Divorced,Female,Dealer,None,None
54,Black Cape,Jayne,Miller,31,Cousin,Single,Female,"Runner, broadcasting/film/video",None,None
1,Peel Gateway,Toby,Kerr,67,Head,Married,Male,Field seismologist,None,Catholic
1,Peel Gateway,Carolyn,Kerr,71,Wife,Married,Female,Retired Make,None,Catholic
2,Peel Gateway,Mandy,Dawson,26,Head,Married,Female,Furniture designer,None,Catholic
2,Peel Gateway,Matthew,Dawson,28,Husband,Married,Male,Applications developer,None,None
3,Peel Gateway,William,James,45,Head,Single,Male,Clinical embryologist,None,Christian
4,Peel Gateway,Katie,Moore,74,Head,Widowed,Female,"Retired Optician, dispensing",None,Christian
4,Peel Gateway,Sarah,Moore,6,Granddaughter,NA,Female,Student,None,NA
5,Peel Gateway,Hazel,Turner,20,Head,Single,Female,University Student,None,None
6,Peel Gateway,Justin,Morgan,44,Head,Divorced,Male,Archivist,None,Catholic
7,Peel Gateway,Gillian,Davies,82,Head,Married,Female,"Retired Engineer, aeronautical",None,Christian
7,Peel Gateway,Bruce,Davies,89,Husband,Married,Male,"Retired Scientist, forensic",None,None
8,Peel Gateway,Trevor,Finch,21,Head,Single,Male,University Student,None,None
9,Peel Gateway,Sharon,Watson,73,Head,Widowed,Female,Retired Amenity horticulturist,None,Christian
10,Peel Gateway,Sheila,Ingram,71,Head,Widowed,Female,"Retired Nurse, mental health",None,None
11,Peel Gateway,Gail,Knowles,26,Head,Single,Female,Information systems manager,None,None
11,Peel Gateway,Billy,Knowles,1,Son,NA,Male,Child,None,NA
12,Peel Gateway,Laura,Chambers,26,Head,Single,Female,Social worker,None,Christian
12,Peel Gateway,Steven,Morgan,27,Partner,Single,Male,Claims inspector/assessor,None,Christian
12,Peel Gateway,Eric,Chambers,1,Son,NA,Male,Child,None,NA
13,Peel Gateway,Ben,Warren,54,Head,Single,Male,Printmaker,None,None
14,Peel Gateway,Dorothy,Mills,69,Head,Married,Female,"Retired Education officer, environmental",None,None
14,Peel Gateway,Jonathan,Mills,70,Husband,Married,Male,"Retired Designer, blown glass/stained glass",None,None
15,Peel Gateway,Nicholas,Myers,69,Head,Widowed,Male,Retired Chartered public finance accountant,None,None
16,Peel Gateway,Jenna,Hayes,54,Head,Married,Female,"Production assistant, television",None,None
16,Peel Gateway,Richard,Hayes,56,Husband,Married,Male,"Teacher, English as a foreign language",None,None
16,Peel Gateway,Charlotte,Hayes,15,Daughter,NA,Female,Student,None,NA
17,Peel Gateway,Dorothy,Gregory,87,Head,Widowed,Female,Retired Press photographer,None,Christian
18,Peel Gateway,Frances,Parkes,30,Head,Single,Female,Fast food restaurant manager,None,Methodist
18,Peel Gateway,Philip,Morris,46,None,Single,Male,Camera operator,None,Catholic
18,Peel Gateway,Lawrence,Ward,24,None,Single,Male,Stage manager,None,None
19,Peel Gateway,Geraldine,Owen,62,Head,Married,Female,Adult guidance worker,None,None
19,Peel Gateway,Kenneth,Owen,62,Husband,Married,Male,"Surveyor, quantity",None,None
19,Peel Gateway,Ruth,Owen,42,Daughter,Single,Female,Technical sales engineer,None,None
20,Peel Gateway,Andrew,Parkin,54,Head,Married,Male,Educational psychologist,None,Christian
20,Peel Gateway,Beverley,Parkin,48,Wife,Married,Female,Dance movement psychotherapist,None,Christian
21,Peel Gateway,Bethan,Cooper,40,Head,Married,Female,Museum/gallery exhibitions officer,None,None
21,Peel Gateway,Duncan,Cooper,43,Husband,Married,Male,Gaffer,None,None
22,Peel Gateway,June,Marshall,24,Head,Single,Female,Community arts worker,None,Catholic
23,Peel Gateway,Danielle,Robinson,51,Head,Married,Female,Corporate investment banker,None,Catholic
23,Peel Gateway,Anthony,Robinson,55,Husband,Married,Male,Advertising account planner,None,Catholic
23,Peel Gateway,Abigail,Robinson,16,Daughter,NA,Female,Student,None,NA
24,Peel Gateway,Angela,Gill,20,Head,Single,Female,University Student,None,Muslim
25,Peel Gateway,Carolyn,Shepherd,43,Head,Single,Female,Press sub,None,Christian
25,Peel Gateway,Clifford,Taylor,45,Partner,Single,Male,Insurance underwriter,None,Christian
25,Peel Gateway,Callum,Shepherd,15,Son,NA,Male,Student,None,NA
26,Peel Gateway,Phillip,Butler,47,Head,Divorced,Male,Unemployed,None,Catholic
27,Peel Gateway,Wendy,Thomas,70,Head,Widowed,Female,Unemployed,None,Christian
27,Peel Gateway,Brandon,Thomas,30,Son,Divorced,Male,"Psychologist, clinical",None,Christian
27,Peel Gateway,Jamie,Thomas,27,Son,Single,Male,Theme park manager,None,Christian
28,Peel Gateway,Bernard,Lawrence,83,Head,Widowed,Male,Retired English as a second language teacher,None,None
29,Peel Gateway,Leah,Simpson,83,Head,Married,Female,Retired Contracting civil engineer,None,Christian
29,Peel Gateway,Joseph,Simpson,88,Husband,Married,Male,Retired Arts development officer,None,Christian
30,Peel Gateway,Eleanor,Lloyd,24,Head,Divorced,Female,Scientific laboratory technician,None,Methodist
31,Peel Gateway,Aimee,Fletcher,31,Head,Divorced,Female,"Geneticist, molecular",None,Catholic
31,Peel Gateway,Karen,Fletcher,14,Daughter,NA,Female,Student,None,NA
31,Peel Gateway,Antony,Fletcher,14,Son,NA,Male,Student,None,NA
32,Peel Gateway,Josephine,Williams,45,Head,Single,Female,Water quality scientist,None,Christian
33,Peel Gateway,Dominic,Flynn,75,Head,Married,Male,Retired Leisure centre manager,None,Methodist
33,Peel Gateway,Jacqueline,Flynn,67,Wife,Married,Female,"Lecturer, further education",None,Methodist
1,Hill Points,Gail,Sutton,66,Head,Widowed,Female,"Scientist, research (medical)",None,Methodist
2,Hill Points,Yvonne,Walker,37,Head,Single,Female,Unemployed,None,None
2,Hill Points,Hollie,Henderson,42,Lodger,Divorced,Female,Outdoor activities/education manager,None,Methodist
2,Hill Points,Rhys,Hamilton,40,Lodger,Single,Male,Advice worker,None,Catholic
3,Hill Points,Joyce,Taylor,58,Head,Married,Female,Research scientist (maths),None,None
3,Hill Points,Anthony,Taylor,56,Husband,Married,Male,"Development worker, international aid",None,None
3,Hill Points,Donna,Ford-Taylor,26,Daughter,Divorced,Female,Advertising art director,None,None
3,Hill Points,Rachel,Ford-Taylor,24,Daughter,Divorced,Female,Press sub,None,None
4,Hill Points,Katherine,Jones,44,Head,Single,Female,Writer,None,Christian
4,Hill Points,Christine,Kennedy,56,None,Single,Female,"Geologist, wellsite",None,Christian
5,Hill Points,Harriet,James,41,Head,Married,Female,Systems analyst,None,Methodist
5,Hill Points,Norman,James-Johnson,43,Husband,Married,Male,"Engineer, production",None,None
5,Hill Points,Karl,James-Johnson,5,Son,NA,Male,Student,None,NA
5,Hill Points,Debra,James-Johnson,2,Daughter,NA,Female,Child,None,NA
6,Hill Points,Mohammed,Jones,87,Head,Married,Male,"Retired Pharmacist, community",None,Methodist
6,Hill Points,Andrea,Jones,83,Wife,Married,Female,Retired Armed forces operational officer,None,None
7,Hill Points,Yvonne,Summers,63,Head,Single,Female,Unemployed,None,Christian
7,Hill Points,Justin,Summers,28,Son,Single,Male,Contractor,None,Christian
7,Hill Points,Stanley,Summers,23,Son,Divorced,Male,Research scientist (maths),None,Christian
7,Hill Points,Nicole,Summers,20,Daughter,Divorced,Female,University Student,None,Christian
7,Hill Points,Lynda,Summers,9,Daughter,NA,Female,Student,None,NA
7,Hill Points,Clifford,Summers,6,Son,NA,Male,Student,None,NA
8,Hill Points,Jessica,Saunders,30,Head,Single,Female,Operations geologist,None,Christian
9,Hill Points,Dorothy,Robinson,58,Head,Widowed,Female,Sports coach,None,Christian
9,Hill Points,Debra,Morris-Robinson,34,Daughter,Single,Female,Ship broker,None,None
9,Hill Points,Rosie,Morris-Robinson,33,Daughter,Single,Female,Publishing rights manager,None,Christian
9,Hill Points,Reece,Morris-Robinson,29,Son,Single,Male,Unemployed,None,Christian
10,Hill Points,Lesley,Kemp,34,Head,Divorced,Female,Animal nutritionist,None,None
10,Hill Points,Alex,Kemp,17,Son,NA,Male,Student,None,NA
10,Hill Points,Philip,Kemp,17,Son,NA,Male,Student,None,NA
10,Hill Points,Valerie,Kemp,14,Adopted Daughter,NA,Female,Student,None,NA
11,Hill Points,Pauline,Richardson,42,Head,Married,Female,Warehouse manager,None,None
11,Hill Points,Keith,Richardson,49,Husband,Married,Male,Sport and exercise psychologist,None,None
11,Hill Points,Martyn,Richardson,3,Son,NA,Male,Child,None,NA
12,Hill Points,Neil,Hall,49,Head,Single,Male,Hospital pharmacist,None,Catholic
12,Hill Points,Callum,West,50,None,Single,Male,Event organiser,None,Methodist
12,Hill Points,Sharon,Miller,33,None,Single,Female,Textile designer,None,None
12,Hill Points,Christian,Kelly,51,None,Single,Male,Special educational needs teacher,None,Methodist
13,Hill Points,Elizabeth,Taylor,58,Head,Divorced,Female,Unemployed,None,None
13,Hill Points,Duncan,Taylor,30,Son,Single,Male,"Optician, dispensing",None,None
13,Hill Points,Michelle,Taylor,28,Daughter,Single,Female,Research scientist (life sciences),None,None
13,Hill Points,Kyle,Taylor,24,Adopted Son,Divorced,Male,Chiropodist,None,None
14,Hill Points,Jacob,Davies,46,Head,Single,Male,Child psychotherapist,None,Methodist
14,Hill Points,Raymond,Richards,36,None,Single,Male,Wellsite geologist,None,Christian
14,Hill Points,Lucy,Smith,51,None,Single,Female,Pathologist,None,None
14,Hill Points,Sandra,Craig,29,None,Single,Female,Advertising account planner,None,Muslim
15,Hill Points,Ruth,Hall,34,Head,Single,Female,Armed forces logistics/support/administrative officer,None,None
15,Hill Points,Douglas,Ellis,43,Partner,Single,Male,Pathologist,None,None
15,Hill Points,Frederick,Hall,7,Son,NA,Male,Student,None,NA
15,Hill Points,Peter,Hall,7,Son,NA,Male,Student,None,NA
16,Hill Points,Jemma,Burke,25,Head,Single,Female,Geophysicist/field seismologist,None,Muslim
16,Hill Points,Brenda,Marshall,24,None,Single,Female,"Engineer, production",None,None
16,Hill Points,Richard,Jordan,56,None,Single,Male,Publishing rights manager,None,Christian
16,Hill Points,Hannah,Barker,61,None,Single,Female,Further education lecturer,None,None
17,Hill Points,Julia,McLean,35,Head,Married,Female,Medical sales representative,None,Catholic
17,Hill Points,Glen,McLean,37,Husband,Married,Male,"Scientist, research (medical)",None,Catholic
17,Hill Points,Donna,McLean,11,Daughter,NA,Female,Student,None,NA
17,Hill Points,Tony,McLean,8,Son,NA,Male,Student,None,NA
18,Hill Points,Sharon,Sanders,18,Head,Single,Female,University Student,None,Jewish
18,Hill Points,Judith,King,18,None,Single,Female,University Student,None,Catholic
19,Hill Points,Tracy,Hudson,30,Head,Married,Female,Research scientist (maths),None,None
19,Hill Points,Benjamin,Hudson,35,Husband,Married,Male,"Social research officer, government",None,None
19,Hill Points,Mark,Hudson,1,Son,NA,Male,Child,None,NA
19,Hill Points,Elizabeth,Hudson,1,Daughter,NA,Female,Child,None,NA
20,Hill Points,Carol,Matthews,61,Head,Married,Female,Illustrator,None,Catholic
20,Hill Points,Douglas,Matthews,64,Husband,Married,Male,Environmental health practitioner,None,None
20,Hill Points,Clifford,Matthews,33,Son,Single,Male,Public librarian,None,Catholic
20,Hill Points,Shannon,Matthews,31,Daughter,Single,Female,"Education officer, community",None,Catholic
21,Hill Points,Mary,Thomas,44,Head,Married,Female,Osteopath,None,None
21,Hill Points,Terry,Thomas,50,Husband,Married,Male,"Doctor, general practice",None,None
21,Hill Points,Teresa,Thomas,16,Daughter,NA,Female,Student,None,NA
22,Hill Points,Samantha,Weston,66,Head,Widowed,Female,Office manager,None,Christian
22,Hill Points,Charlene,Weston,42,Daughter,Divorced,Female,Agricultural engineer,None,Christian
22,Hill Points,Mary,Weston,41,Daughter,Single,Female,"Editor, commissioning",None,Christian
22,Hill Points,Vincent,Weston,41,Son,Single,Male,Unemployed,None,Christian
23,Hill Points,Joel,Green,55,Head,Divorced,Male,Control and instrumentation engineer,None,Christian
23,Hill Points,Clare,Green,16,Daughter,NA,Female,Student,None,NA
23,Hill Points,Valerie,Green,9,Daughter,NA,Female,Student,None,NA
23,Hill Points,Benjamin,Green,8,Son,NA,Male,Student,None,NA
24,Hill Points,Maurice,Law,40,Head,Married,Male,Systems analyst,None,None
24,Hill Points,Gail,Law,36,Wife,Married,Female,"Producer, radio",None,None
24,Hill Points,Kayleigh,Law,12,Daughter,NA,Female,Student,None,NA
24,Hill Points,Frank,Law,6,Son,NA,Male,Student,None,NA
24,Hill Points,Rebecca,Law,4,Daughter,NA,Female,Child,None,NA
25,Hill Points,Rachael,Gibbs,39,Head,Married,Female,Associate Professor,None,Catholic
25,Hill Points,Josh,Gibbs,45,Husband,Married,Male,Curator,None,Catholic
25,Hill Points,Dorothy,Campbell,24,Lodger,Single,Female,Financial risk analyst,None,Christian
26,Hill Points,Jean,Jones,32,Head,Single,Female,Unemployed,None,None
26,Hill Points,Howard,Jones,5,Son,NA,Male,Student,None,NA
26,Hill Points,Gillian,Jones,1,Daughter,NA,Female,Child,None,NA
26,Hill Points,Joe,Gardiner,43,Lodger,Single,Male,Rural practice surveyor,None,Catholic
27,Hill Points,Jasmine,White,71.84377772328801,Head,Married,Female,"Retired Teacher, early years/pre",None,Christian
27,Hill Points,Andrew,White,74.84377772328801,Husband,Married,Male,Retired Hospital pharmacist,None,None
27,Hill Points,Leonard,White,24.0,Son,Single,Male,Outdoor activities/education manager,None,None
27,Hill Points,Brian,White,2,Son,NA,Male,Child,None,NA
28,Hill Points,Irene,Cooke,42,Head,Married,Female,"Engineer, civil (contracting)",None,Methodist
28,Hill Points,Matthew,Cooke,44,Husband,Married,Male,Aeronautical engineer,None,Methodist
28,Hill Points,Karen,Cooke,22,Daughter,Single,Female,University Student,None,None
28,Hill Points,Julian,Cooke,14,Son,NA,Male,Student,None,NA
29,Hill Points,Sylvia,Johnson,55,Head,Single,Female,Field trials officer,None,Christian
29,Hill Points,Declan,Johnson,35,Son,Single,Male,Financial adviser,None,Christian
29,Hill Points,Brandon,Johnson,33,Son,Single,Male,Podiatrist,None,Christian
29,Hill Points,James,Johnson,32,Son,Single,Male,Chief Marketing Officer,None,None
30,Hill Points,Amanda,Davis,38,Head,Single,Female,Therapeutic radiographer,None,Catholic
30,Hill Points,Dylan,Clark,41,Partner,Single,Male,Advice worker,None,Catholic
30,Hill Points,Charles,Vaughan-Davis,12,Son,NA,Male,Student,None,NA
30,Hill Points,Elliott,Vaughan-Davis,7,Son,NA,Male,Student,None,NA
31,Hill Points,Anna,Campbell,50,Head,Divorced,Female,Health promotion specialist,None,Catholic
32,Hill Points,Rachel,Crawford,32,Head,Divorced,Female,Unemployed,None,Sikh
32,Hill Points,Anne,Crawford,5,Daughter,NA,Female,Student,None,NA
32,Hill Points,Peter,Crawford,3,Adopted Son,NA,Male,Child,None,NA
32,Hill Points,Pauline,Crawford,0,Daughter,NA,Female,Child,None,NA
33,Hill Points,Reece,Webster,53,Head,Single,Male,Illustrator,None,None
34,Hill Points,Paula,Bentley,18,Head,Single,Female,Student,None,NA
35,Hill Points,Andrew,White,65,Head,Married,Male,Community development worker,None,Christian
35,Hill Points,Maria,White,62,Wife,Married,Female,Radio producer,None,None
35,Hill Points,Janet,O'Brien,41,None,Married,Female,"Teacher, English as a foreign language",None,Catholic
35,Hill Points,Jacob,O'Brien,40,None,Married,Male,Land,None,Catholic
35,Hill Points,Bernard,O'Brien,16,None,NA,Male,Student,None,NA
36,Hill Points,Nicola,Davies,55,Head,Single,Female,Human resources officer,None,Christian
36,Hill Points,Emily,Davies,18,Daughter,Single,Female,Student,None,Christian
36,Hill Points,Denis,Davies,17,Son,NA,Male,Student,None,NA
36,Hill Points,Anna,Davies,13,Daughter,NA,Female,Student,None,NA
37,Hill Points,Leonard,Harvey,19,Head,Single,Male,University Student,None,Catholic
37,Hill Points,Eleanor,Doherty,21,None,Single,Female,University Student,None,None
37,Hill Points,Jayne,Barry,22,None,Single,Female,University Student,None,Christian
37,Hill Points,Lynda,Burrows,23,None,Single,Female,PhD Student,None,Catholic
37,Hill Points,Denis,Kelly,21,None,Single,Male,University Student,None,Catholic
37,Hill Points,Trevor,Roberts,22,None,Single,Male,University Student,None,Jewish
38,Hill Points,Tracy,Butler,39,Head,Single,Female,Pension scheme manager,None,None
38,Hill Points,Emma,Johnson,21,None,Single,Female,University Student,None,Methodist
38,Hill Points,Marilyn,Jones,31,None,Single,Female,Broadcast engineer,None,None
38,Hill Points,Sylvia,Harvey,61,None,Single,Female,Forest/woodland manager,None,Christian
